case_id,inference_time,case_time,preprocessing_time
19_00000,1.8648600578308105,1.8651108741760254,0.00025081634521484375
19_00058,0.17881178855895996,0.18117642402648926,0.002364635467529297
19_00116,0.1823115348815918,0.1847076416015625,0.002396106719970703
19_00174,0.1803421974182129,0.18269729614257812,0.0023550987243652344
19_00232,0.18263936042785645,0.19300484657287598,0.010365486145019531
19_00270,0.17596697807312012,0.18565726280212402,0.009690284729003906
19_00308,0.1831204891204834,0.1852254867553711,0.0021049976348876953
19_00346,0.18001627922058105,0.1823866367340088,0.0023703575134277344
19_00384,0.17816638946533203,0.18125486373901367,0.0030884742736816406
19_00419,0.1763451099395752,0.185380220413208,0.009035110473632812
19_00454,0.1747722625732422,0.18498659133911133,0.01021432876586914
19_00488,0.17955589294433594,0.18983721733093262,0.01028132438659668
19_00523,0.1757509708404541,0.18504571914672852,0.009294748306274414
19_00558,0.18173837661743164,0.18435239791870117,0.0026140213012695312
19_00594,0.18290162086486816,0.185593843460083,0.0026922225952148438
19_00629,0.18546819686889648,0.18839621543884277,0.002928018569946289
19_00664,0.183729887008667,0.18695068359375,0.003220796585083008
19_00766,0.17573261260986328,0.18591904640197754,0.010186433792114258
19_00869,0.18122053146362305,0.19157099723815918,0.010350465774536133
19_00971,0.17929792404174805,0.1895747184753418,0.01027679443359375
19_01073,0.17985105514526367,0.18392515182495117,0.0040740966796875
19_01164,0.18125247955322266,0.18472766876220703,0.003475189208984375
19_01254,0.1811666488647461,0.18422746658325195,0.0030608177185058594
19_01345,0.1794593334197998,0.1826016902923584,0.0031423568725585938
19_01435,0.17675280570983887,0.17983794212341309,0.0030851364135742188
19_01505,0.18132305145263672,0.19172167778015137,0.010398626327514648
19_01574,0.17818474769592285,0.18859124183654785,0.010406494140625
19_01644,0.177490234375,0.1883866786956787,0.010896444320678711
19_01713,0.17725300788879395,0.1882305145263672,0.010977506637573242
19_01771,0.17772459983825684,0.18784093856811523,0.010116338729858398
19_01829,0.17594552040100098,0.18533921241760254,0.009393692016601562
19_01886,0.1775343418121338,0.18038225173950195,0.002847909927368164
19_01944,0.17841529846191406,0.18910932540893555,0.010694026947021484
19_02040,0.18090391159057617,0.1912400722503662,0.010336160659790039
19_02136,0.17615938186645508,0.1858506202697754,0.009691238403320312
19_02232,0.17826080322265625,0.187852144241333,0.009591341018676758
19_02328,0.17751860618591309,0.1872577667236328,0.009739160537719727
19_02410,0.1782548427581787,0.18155789375305176,0.003303050994873047
19_02492,0.1807689666748047,0.19094443321228027,0.010175466537475586
19_02573,0.17789602279663086,0.18083429336547852,0.0029382705688476562
19_02655,0.1784365177154541,0.18216705322265625,0.0037305355072021484
19_02788,0.1733386516571045,0.18382024765014648,0.010481595993041992
19_02921,0.17963600158691406,0.19032502174377441,0.010689020156860352
19_03053,0.18038344383239746,0.1903667449951172,0.009983301162719727
19_03186,0.17767715454101562,0.18821001052856445,0.010532855987548828
19_03274,0.1787855625152588,0.18940186500549316,0.010616302490234375
19_03361,0.1768817901611328,0.18608546257019043,0.009203672409057617
19_03449,0.1804966926574707,0.19018173217773438,0.009685039520263672
19_03536,0.18158674240112305,0.18447566032409668,0.002888917922973633
19_03570,0.17925691604614258,0.1895143985748291,0.010257482528686523
19_03605,0.17674469947814941,0.18648862838745117,0.009743928909301758
19_03639,0.17958688735961914,0.18909931182861328,0.00951242446899414
19_03673,0.17808914184570312,0.18771791458129883,0.009628772735595703
19_03711,0.17797160148620605,0.18751811981201172,0.009546518325805664
19_03749,0.17731189727783203,0.18660640716552734,0.009294509887695312
19_03786,0.17702221870422363,0.17975306510925293,0.002730846405029297
19_03824,0.1777338981628418,0.18047380447387695,0.0027399063110351562
19_03968,0.17603230476379395,0.18569278717041016,0.009660482406616211
19_04112,0.17704391479492188,0.18711042404174805,0.010066509246826172
19_04256,0.1781618595123291,0.1880044937133789,0.009842634201049805
19_04400,0.18077731132507324,0.19145941734313965,0.010682106018066406
19_04513,0.18009161949157715,0.18326091766357422,0.0031692981719970703
19_04625,0.18013763427734375,0.19030380249023438,0.010166168212890625
19_04738,0.18071532249450684,0.18359899520874023,0.0028836727142333984
19_04850,0.17748737335205078,0.18049836158752441,0.003010988235473633
19_04898,0.17504405975341797,0.17821907997131348,0.003175020217895508
19_04945,0.18173766136169434,0.18488097190856934,0.003143310546875
19_04993,0.18001723289489746,0.19056081771850586,0.010543584823608398
19_05040,0.18307852745056152,0.1864790916442871,0.003400564193725586
19_05066,0.18359684944152832,0.19387197494506836,0.010275125503540039
19_05092,0.18138504028320312,0.1839890480041504,0.0026040077209472656
19_05118,0.18060946464538574,0.18390321731567383,0.003293752670288086
19_05144,0.17798447608947754,0.18713045120239258,0.009145975112915039
19_05213,0.1756579875946045,0.18541908264160156,0.00976109504699707
19_05283,0.18023133277893066,0.18996381759643555,0.009732484817504883
19_05352,0.17825579643249512,0.1885695457458496,0.010313749313354492
19_05421,0.18137598037719727,0.19215130805969238,0.010775327682495117
19_05459,0.18131732940673828,0.184173583984375,0.0028562545776367188
19_05498,0.1786034107208252,0.18808317184448242,0.009479761123657227
19_05536,0.17596673965454102,0.17894411087036133,0.0029773712158203125
19_05574,0.1793835163116455,0.18951845169067383,0.01013493537902832
19_05593,0.17842817306518555,0.18865656852722168,0.010228395462036133
19_05612,0.18274927139282227,0.19283485412597656,0.010085582733154297
19_05630,0.17730712890625,0.18695831298828125,0.00965118408203125
19_05649,0.18200254440307617,0.19263696670532227,0.010634422302246094
19_06041,0.18122577667236328,0.19064784049987793,0.009422063827514648
19_06433,0.1779639720916748,0.1872267723083496,0.009262800216674805
19_06824,0.17553472518920898,0.1848130226135254,0.009278297424316406
19_07216,0.1801469326019287,0.18366265296936035,0.0035157203674316406
19_07301,0.17958521842956543,0.18930506706237793,0.0097198486328125
19_07387,0.1811234951019287,0.1847066879272461,0.003583192825317383
19_07472,0.17334485054016113,0.17679643630981445,0.0034515857696533203
19_07557,0.1770477294921875,0.18736624717712402,0.010318517684936523
19_07619,0.17695951461791992,0.18642759323120117,0.00946807861328125
19_07680,0.1796410083770752,0.18889594078063965,0.009254932403564453
19_07742,0.17836523056030273,0.1875748634338379,0.009209632873535156
19_07803,0.17679691314697266,0.18653106689453125,0.009734153747558594
19_07853,0.17758536338806152,0.18716692924499512,0.009581565856933594
19_07903,0.17797565460205078,0.1873931884765625,0.009417533874511719
19_07953,0.17579007148742676,0.18555688858032227,0.009766817092895508
19_08003,0.1773970127105713,0.18694734573364258,0.009550333023071289
19_08214,0.18172430992126465,0.19180798530578613,0.010083675384521484
19_08425,0.17403244972229004,0.17711758613586426,0.0030851364135742188
19_08635,0.18288230895996094,0.18592619895935059,0.0030438899993896484
19_08846,0.1811673641204834,0.19122719764709473,0.010059833526611328
19_08919,0.1857302188873291,0.19607186317443848,0.010341644287109375
19_08993,0.18115925788879395,0.19111299514770508,0.009953737258911133
19_09066,0.1794426441192627,0.19010710716247559,0.01066446304321289
19_09139,0.1801433563232422,0.19136667251586914,0.011223316192626953
19_09195,0.18045282363891602,0.19063282012939453,0.010179996490478516
19_09251,0.17990946769714355,0.19027972221374512,0.010370254516601562
19_09307,0.17800331115722656,0.18129730224609375,0.0032939910888671875
19_09363,0.17536687850952148,0.1791536808013916,0.003786802291870117
19_09399,0.1769883632659912,0.18660306930541992,0.009614706039428711
19_09435,0.17638635635375977,0.1863415241241455,0.009955167770385742
19_09470,0.18059659004211426,0.1904292106628418,0.009832620620727539
19_09506,0.1795337200164795,0.18929648399353027,0.009762763977050781
19_09879,0.17957472801208496,0.189361572265625,0.009786844253540039
19_10252,0.1799013614654541,0.18299651145935059,0.0030951499938964844
19_10624,0.1798262596130371,0.18939685821533203,0.009570598602294922
19_10997,0.17711901664733887,0.18646240234375,0.009343385696411133
19_11062,0.17835521697998047,0.18878412246704102,0.010428905487060547
19_11127,0.18062162399291992,0.19210410118103027,0.011482477188110352
19_11191,0.18055129051208496,0.19115781784057617,0.010606527328491211
19_11256,0.1798560619354248,0.18978667259216309,0.009930610656738281
19_11308,0.1769397258758545,0.18624162673950195,0.009301900863647461
19_11360,0.18178009986877441,0.19240784645080566,0.01062774658203125
19_11411,0.18019771575927734,0.19041919708251953,0.010221481323242188
19_11463,0.1758267879486084,0.17916107177734375,0.0033342838287353516
19_11495,0.1773974895477295,0.18703007698059082,0.009632587432861328
19_11526,0.17693877220153809,0.18642520904541016,0.00948643684387207
19_11558,0.17813754081726074,0.1813337802886963,0.003196239471435547
19_11589,0.17973065376281738,0.1904315948486328,0.01070094108581543
19_11827,0.1783900260925293,0.18861889839172363,0.010228872299194336
19_12064,0.18316960334777832,0.1861412525177002,0.002971649169921875
19_12302,0.1788325309753418,0.18888044357299805,0.01004791259765625
19_12539,0.17777514457702637,0.18903660774230957,0.011261463165283203
19_12553,0.1806199550628662,0.19109320640563965,0.010473251342773438
19_12567,0.18355798721313477,0.19337224960327148,0.009814262390136719
19_12581,0.18459844589233398,0.18860363960266113,0.0040051937103271484
19_12595,0.17932415008544922,0.18906235694885254,0.00973820686340332
19_12617,0.17931532859802246,0.1888425350189209,0.009527206420898438
19_12639,0.1779031753540039,0.18721318244934082,0.009310007095336914
19_12660,0.17918682098388672,0.18840503692626953,0.009218215942382812
19_12682,0.1769106388092041,0.18623995780944824,0.00932931900024414
19_12722,0.1812148094177246,0.19180059432983398,0.010585784912109375
19_12763,0.18219542503356934,0.18572163581848145,0.0035262107849121094
19_12803,0.18317532539367676,0.19286298751831055,0.009687662124633789
19_12843,0.18144679069519043,0.18474340438842773,0.0032966136932373047
19_13083,0.18024659156799316,0.19041776657104492,0.010171175003051758
19_13322,0.17926383018493652,0.18217754364013672,0.0029137134552001953
19_13562,0.17700695991516113,0.18056941032409668,0.003562450408935547
19_13801,0.18053436279296875,0.18384599685668945,0.003311634063720703
19_13852,0.1803452968597412,0.19261598587036133,0.012270689010620117
19_13902,0.18173837661743164,0.1925191879272461,0.010780811309814453
19_13953,0.18260836601257324,0.19360637664794922,0.010998010635375977
19_14003,0.17896604537963867,0.18269920349121094,0.0037331581115722656
19_14425,0.1806042194366455,0.190582275390625,0.009978055953979492
19_14848,0.17812585830688477,0.18734121322631836,0.009215354919433594
19_15270,0.17777204513549805,0.1876695156097412,0.009897470474243164
19_15692,0.18154430389404297,0.1843571662902832,0.0028128623962402344
19_15721,0.1842508316040039,0.1954329013824463,0.011182069778442383
19_15750,0.1800096035003662,0.19095778465270996,0.01094818115234375
19_15779,0.18228459358215332,0.18558073043823242,0.0032961368560791016
19_15808,0.18094778060913086,0.1914691925048828,0.010521411895751953
19_15883,0.17634057998657227,0.17983675003051758,0.0034961700439453125
19_15957,0.17957592010498047,0.18254685401916504,0.0029709339141845703
19_16032,0.18041348457336426,0.18332695960998535,0.0029134750366210938
19_16106,0.1749567985534668,0.1853630542755127,0.010406255722045898
19_16168,0.17892098426818848,0.18942832946777344,0.010507345199584961
